Order_ID,Product,Warehouse,Supplier,Date,Quantity,Lead_Time_Days,Inventory_Level,Delivery_Status
ORD001,Laptop,Delhi,TechCorp,05-01-2026,50,7,200,On Time
ORD002,Mouse,Mumbai,GadgetHub,06-01-2026,200,5,800,On Time
ORD003,Keyboard,Delhi,TechCorp,07-01-2026,120,9,450,Delayed
ORD004,Monitor,Bangalore,ScreenWorld,08-01-2026,80,6,300,On Time
ORD005,Laptop,Mumbai,TechCorp,09-01-2026,60,8,180,Delayed
ORD006,Webcam,Delhi,GadgetHub,10-01-2026,150,4,600,On Time
ORD007,Mouse,Bangalore,GadgetHub,11-01-2026,300,5,950,On Time
ORD008,Keyboard,Mumbai,TechCorp,12-01-2026,90,10,400,Delayed
ORD009,Monitor,Delhi,ScreenWorld,13-01-2026,70,7,250,On Time
ORD010,Laptop,Bangalore,TechCorp,14-01-2026,55,6,220,On Time
ORD011,Webcam,Mumbai,GadgetHub,15-01-2026,180,3,700,On Time
ORD012,Mouse,Delhi,GadgetHub,16-01-2026,250,6,850,Delayed
ORD013,Keyboard,Bangalore,TechCorp,17-01-2026,110,8,380,On Time
ORD014,Monitor,Mumbai,ScreenWorld,18-01-2026,85,5,320,On Time
ORD015,Laptop,Delhi,TechCorp,19-01-2026,65,9,190,Delayed
